RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
741,15637414,Gell,618,France,Female,24,7,"$128,736",1,0,1,"$37,148",0
742,15716835,Rossi,546,France,Male,24,8,"$156,325",1,1,1,"$125,381",0
743,15696231,Chiwetelu,635,France,Male,29,7,"$105,406",1,1,1,"$149,854",0
744,15641675,Kirillova,611,France,Female,49,2,"$88,915",3,0,0,"$161,435",1
745,15670755,Shaw,650,France,Male,60,8,$0,2,1,1,"$102,926",0
746,15640059,Smith,606,France,Male,40,5,$0,2,1,1,"$70,899",0
747,15787619,Hsieh,844,France,Male,18,2,"$160,980",1,0,0,"$145,936",0
748,15587535,Onyemauchechukwu,450,Spain,Female,46,5,"$177,620",1,1,0,"$54,227",0
749,15813034,Martin,727,Spain,Male,38,2,"$62,277",1,1,1,"$59,281",0
750,15698839,Okwudilichukwu,460,Germany,Male,46,4,"$127,560",2,1,1,"$126,953",0
751,15790314,Onuoha,649,France,Male,41,0,$0,2,0,1,"$130,567",0
752,15634245,Muecke,758,Germany,Female,47,9,"$95,523",1,1,0,"$73,294",0
753,15677305,Hsieh,490,France,Female,35,7,"$107,749",1,1,1,"$3,937",0
754,15661526,Anderson,815,Germany,Male,37,2,"$110,777",2,1,0,"$2,384",0
755,15685997,Azubuike,838,Spain,Female,39,5,"$166,734",2,1,0,"$14,279",0
756,15660101,Nnonso,803,France,Male,31,9,"$157,121",2,1,0,"$141,301",0
757,15637979,Fuller,664,Germany,Female,36,2,"$127,161",2,1,0,"$78,141",0
758,15815364,Ashley,736,Spain,Female,28,2,$0,2,1,1,"$117,431",0
759,15647099,Ts'ui,633,France,Female,37,9,"$156,092",1,1,0,"$72,009",0
760,15625944,Buccho,664,France,Male,58,5,"$98,668",1,1,1,"$60,888",0
761,15583212,Chidozie,600,France,Female,43,5,"$134,022",1,1,0,"$194,765",0
762,15582741,Maclean,693,France,Female,35,5,"$124,151",1,1,0,"$88,705",1
763,15637876,Burns,663,Germany,Female,36,6,"$77,254",1,0,0,"$35,818",1
764,15622750,Chu,742,Germany,Female,21,1,"$114,292",1,1,0,"$31,520",0
765,15672056,Kenenna,710,Germany,Male,43,2,"$140,080",3,1,1,"$157,908",1
766,15812351,Beluchi,710,Spain,Female,27,2,"$135,278",1,1,0,"$142,200",0
767,15810864,Williamson,700,France,Female,82,2,$0,2,0,1,"$182,055",0
768,15677921,Bobrov,720,Germany,Male,60,9,"$115,921",2,0,0,"$157,552",1
769,15724296,Kerr,684,Spain,Male,41,2,"$119,783",2,0,0,"$120,285",0
770,15685329,McKenzie,531,France,Female,63,1,"$114,716",1,0,1,"$24,507",1
771,15584091,Pitts,742,Germany,Female,36,2,"$129,749",2,0,0,"$47,272",1
772,15640442,Standish,717,France,Male,31,4,"$129,723",1,0,0,"$41,177",0
773,15639314,Cartwright,589,France,Male,32,2,$0,2,0,1,"$9,469",0
774,15685320,Johnstone,767,France,Male,36,3,"$139,180",1,0,0,"$123,880",0
775,15789158,Nikitina,636,Germany,Male,49,6,"$113,600",2,1,0,"$158,887",1
776,15752137,McElroy,648,France,Male,33,7,"$134,944",1,1,1,"$117,036",0
777,15712551,Shen,622,Germany,Female,58,7,"$116,922",1,1,0,"$120,416",1
778,15628936,Archer,692,Spain,Male,28,9,"$118,945",1,0,0,"$16,064",1
779,15797227,Otutodilinna,754,France,Male,28,8,$0,2,1,1,"$52,616",0
780,15769974,Shih,679,Spain,Female,35,8,"$119,183",1,0,0,"$121,210",0
781,15737051,Denisov,639,France,Male,27,8,$0,2,1,0,"$192,247",0
782,15585595,Owens,774,France,Female,28,1,"$71,264",2,0,1,"$68,760",0
783,15654060,P'eng,517,France,Male,41,2,$0,2,0,1,"$75,937",0
784,15745196,Verco,571,France,Female,35,8,$0,2,0,0,"$84,569",0
785,15571221,Bergamaschi,747,Germany,Male,58,7,"$116,314",1,1,1,"$190,696",1
786,15660155,Lorenzo,792,Spain,Male,36,5,"$92,140",1,0,1,"$67,469",0
787,15605284,Outtrim,688,France,Male,26,1,$0,2,1,1,"$104,436",0
788,15694366,Hou,714,Germany,Male,42,2,"$177,640",1,0,1,"$47,167",0
789,15600739,Galkin,562,Spain,Female,35,0,$0,2,1,0,"$119,900",0
790,15653253,Pagnotto,704,Spain,Male,48,8,"$167,998",1,1,1,"$173,498",0
791,15763431,Echezonachukwu,698,France,Male,36,2,"$82,275",2,1,1,"$93,249",0
792,15643696,Young,611,France,Male,49,3,$0,2,1,1,"$142,918",0
793,15707473,Summers,850,Germany,Female,48,6,"$111,963",1,1,0,"$111,756",0
794,15769504,Munro,743,Germany,Female,34,1,"$131,737",1,1,1,"$108,543",0
795,15776807,Brennan,654,France,Male,29,1,$0,1,1,0,"$180,345",0
796,15686870,Ball,761,Germany,Male,36,8,"$108,239",2,0,0,"$99,444",0
797,15668747,Virgo,702,France,Female,46,9,"$98,444",1,0,1,"$109,563",0
798,15766908,Trevisani,488,Germany,Male,32,3,"$114,540",1,1,0,"$92,568",0
799,15570134,Padovano,683,France,Female,35,6,"$187,531",2,1,1,"$37,976",0
800,15567367,Tao,601,Germany,Female,42,9,"$133,636",1,0,1,"$103,316",0
801,15747542,Perez,605,France,Male,52,7,$0,2,1,1,"$173,953",0
802,15762238,Fraser,671,Germany,Female,44,0,"$84,745",2,0,1,"$34,674",0
803,15681554,Alley,614,Germany,Female,31,7,"$120,599",2,1,1,"$46,163",0
804,15712825,Howells,511,Spain,Female,29,9,$0,2,0,1,"$140,677",0
805,15640280,Cameron,850,France,Male,39,4,"$127,771",2,0,1,"$151,739",0
806,15756026,Hooper,790,Spain,Female,46,9,$0,1,0,0,"$14,680",1
807,15613319,Rice,793,France,Female,33,0,$0,1,0,0,"$175,544",0
808,15798906,Cox,628,France,Male,69,5,$0,2,1,1,"$181,965",0
809,15708917,Martin,598,Germany,Male,53,10,"$167,773",1,1,1,"$136,887",0
810,15778463,Ikenna,657,France,Female,37,6,"$95,846",1,1,0,"$122,218",0
811,15699430,Davide,618,France,Female,35,10,$0,2,1,0,"$180,440",0
812,15649992,Alexander,681,Spain,Male,65,7,"$134,715",2,0,1,"$190,420",0
813,15578980,Piazza,516,Spain,Female,33,3,$0,2,1,1,"$58,686",0
814,15775306,Ni,421,Germany,Male,28,8,"$122,384",3,1,1,"$89,017",1
815,15641655,Black,700,France,Female,26,2,$0,2,0,0,"$50,051",0
816,15619708,Harker,745,France,Male,25,5,"$157,993",2,1,0,"$146,041",0
817,15734565,Hughes,696,France,Male,29,8,$0,2,1,0,"$191,166",0
818,15806438,Chiabuotu,580,Germany,Female,42,2,"$123,331",1,0,0,"$103,516",1
819,15591969,Kuo,497,Spain,Male,27,9,"$75,263",1,1,1,"$164,825",0
820,15747807,Gallagher,720,France,Female,43,6,"$137,824",2,1,0,"$172,558",0
821,15596939,Calabresi,659,Germany,Male,36,4,"$132,579",2,1,0,"$84,321",0
822,15716155,Shaw,841,France,Female,36,5,"$156,021",1,0,0,"$122,663",0
823,15765311,Zhirov,642,Spain,Male,34,8,$0,1,1,0,"$72,085",0
824,15757811,Lloyd,732,Spain,Female,69,9,"$137,453",1,0,1,"$110,932",1
825,15603830,Palmer,600,Spain,Male,36,4,$0,2,1,0,"$143,635",0
826,15660602,Ch'eng,464,Germany,Male,33,8,"$164,285",2,1,1,"$3,710",0
827,15660535,Avent,680,France,Female,47,5,$0,2,1,1,"$179,843",0
828,15666633,Huang,758,Spain,Male,56,1,$0,2,1,1,"$10,643",0
829,15596914,Shaw,630,Germany,Female,31,2,"$112,373",2,1,1,"$131,168",0
830,15639788,Yuan,577,France,Female,39,10,$0,2,1,0,"$10,553",0
831,15695846,Hawkins,684,France,Female,34,6,$0,2,1,1,"$130,928",0
832,15726234,Trentini,708,Spain,Female,41,5,$0,1,0,1,"$157,004",0
833,15797964,Cameron,732,Germany,Female,29,1,"$154,334",1,1,1,"$138,528",0
834,15625881,Koehler,634,Germany,Male,37,3,"$111,433",2,1,1,"$167,032",0
835,15780628,Wu,633,France,Female,30,6,$0,2,0,0,"$41,642",0
836,15575883,Manna,559,France,Male,34,2,"$137,390",2,1,0,"$9,677",0
837,15585036,Okoli,694,Spain,Female,37,3,$0,2,1,1,"$147,012",0
838,15589488,Ch'eng,686,Germany,Female,56,5,"$111,642",1,1,1,"$80,554",0
839,15585888,Nwokezuike,553,Spain,Female,48,3,$0,1,0,1,"$30,731",1
840,15727915,Artemiev,507,France,Male,36,4,"$83,543",1,0,0,"$140,134",0
841,15707567,Esposito,732,Germany,Male,50,6,"$145,339",1,0,0,"$91,936",1
842,15737792,Abbie,818,France,Female,31,1,"$186,796",1,0,0,"$178,253",0
843,15599433,Fanucci,660,Germany,Male,35,8,"$58,641",1,0,1,"$198,674",0
844,15672012,Jen,773,Spain,Female,41,5,$0,1,1,0,"$28,267",1
845,15806983,Moss,640,France,Male,44,3,"$137,149",1,1,0,"$92,381",0
846,15592222,Lo,505,France,Male,49,7,"$80,001",1,0,0,"$135,180",0
847,15608968,Averyanov,714,Germany,Male,21,6,"$86,403",2,0,0,"$27,331",0
848,15586959,Unaipon,468,France,Female,42,5,$0,2,1,0,"$125,305",0
849,15646558,Clamp,611,Spain,Male,51,1,"$122,875",1,1,1,"$149,648",0
850,15725811,Lim,705,France,Male,25,0,"$97,544",1,0,1,"$59,887",0
851,15572265,Wu,646,Germany,Male,46,1,"$170,827",2,1,0,"$45,041",0
852,15794048,Wan,667,Germany,Female,48,1,"$97,134",2,0,0,"$113,317",1
853,15677610,Chambers,511,Germany,Female,41,8,"$153,896",1,1,1,"$39,087",0
854,15745012,Pettit,653,France,Female,43,6,$0,2,1,1,"$7,331",0
855,15601589,Baresi,675,France,Female,57,8,$0,2,0,1,"$95,463",0
856,15686436,Newbery,523,Spain,Male,32,4,$0,2,1,0,"$167,848",0
857,15693864,Iheanacho,567,Germany,Female,49,5,"$134,956",1,1,0,"$93,954",1
858,15760550,Duncan,741,Spain,Male,39,7,"$143,638",2,0,1,"$174,228",0
859,15686137,Barry,456,Spain,Male,32,9,"$147,506",1,1,1,"$135,399",0
860,15809087,Landry,598,France,Male,64,1,$0,2,1,0,"$195,635",1
861,15807663,McGregor,667,France,Male,43,8,"$190,227",1,1,0,"$97,508",1
862,15809100,Nucci,548,France,Female,32,2,"$172,449",1,1,0,"$188,084",1
863,15794916,Pirogov,725,France,Male,41,7,"$113,980",1,1,1,"$116,704",0
864,15614215,Oguejiofor,717,France,Male,53,6,$0,2,0,1,"$97,615",0
865,15805449,Ugochukwu,594,France,Male,38,4,$0,2,0,0,"$186,884",0
866,15686983,Rohu,678,Germany,Female,25,10,"$76,968",2,0,1,"$131,502",0
867,15808017,Cary,545,France,Male,38,1,"$88,293",2,1,1,"$24,303",0
868,15756804,O'Loghlen,636,France,Female,48,1,"$170,833",1,1,0,"$110,510",1
869,15646810,Quinn,603,Germany,Male,44,6,"$108,122",2,1,0,"$108,488",1
870,15710424,Page,435,France,Male,36,4,$0,1,1,1,"$197,015",0
871,15799422,Evans,535,France,Female,40,8,$0,1,1,1,"$27,690",0
872,15692750,McGregor,629,Germany,Female,45,7,"$129,818",3,1,0,"$9,218",1
873,15794549,Andrews,722,France,Female,35,2,"$163,944",2,1,1,"$15,068",0
874,15803764,Stanley,561,France,Male,28,7,$0,2,1,0,"$7,797",0
875,15674840,Chiazagomekpere,645,France,Female,38,5,"$101,430",2,0,1,"$4,400",0
876,15653762,Chidiebele,501,France,Female,39,9,"$117,302",1,0,0,"$182,026",0
877,15581229,Gregory,502,Germany,Female,32,1,"$173,341",1,0,1,"$122,764",0
878,15800228,Bednall,652,Spain,Female,42,4,$0,2,1,1,"$38,152",0
879,15656333,Jen,574,France,Female,33,3,"$134,349",1,1,0,"$63,164",0
880,15697497,She,518,France,Female,45,9,"$105,526",2,1,1,"$73,418",0
881,15585362,Simmons,749,France,Female,60,6,$0,1,1,0,"$17,979",1
882,15571928,Fraser,679,France,Female,43,4,$0,3,1,0,"$115,137",1
883,15785519,May,565,France,Male,36,6,"$106,192",1,1,0,"$149,576",0
884,15743007,Seabrook,643,France,Female,45,4,"$45,144",1,1,0,"$60,917",1
885,15777211,Herrera,515,France,Male,65,7,"$92,114",1,1,1,"$142,548",0
886,15721935,Kincaid,521,France,Male,25,7,$0,2,1,1,"$157,879",0
887,15591711,Sleeman,739,Spain,Male,38,0,"$128,366",1,1,0,"$12,796",0
888,15625021,Hung,585,France,Male,42,2,$0,2,1,1,"$18,658",0
889,15702968,Artemieva,733,Germany,Male,74,3,"$106,546",1,1,1,"$134,590",0
890,15600462,Barwell,542,France,Female,43,8,"$145,618",1,0,1,"$10,351",0
891,15768104,Wright,788,Spain,Male,37,8,"$141,541",1,0,0,"$66,013",0
892,15780140,Bellucci,435,Germany,Male,32,2,"$57,017",2,1,1,"$5,907",0
893,15585255,Moore,577,France,Male,42,9,$0,1,1,0,"$74,078",0
894,15772781,Ball,703,France,Female,51,3,$0,3,1,1,"$77,295",1
895,15669987,Sung,728,Germany,Female,35,8,"$125,885",2,1,0,"$54,359",1
896,15697000,Mello,728,Germany,Male,32,5,"$61,826",1,1,1,"$156,125",0
897,15733119,Mistry,718,France,Male,35,8,$0,2,1,0,"$94,821",0
898,15782390,T'ien,621,France,Female,40,6,$0,1,1,0,"$155,155",0
899,15654700,Fallaci,523,France,Female,40,2,"$102,967",1,1,0,"$128,702",1
900,15632210,Hill,657,Germany,Male,25,2,"$171,771",1,1,0,"$22,746",0
901,15642041,Burns,727,Germany,Male,40,1,"$93,052",2,1,0,"$71,865",1
902,15709737,Hunter,643,France,Male,36,7,"$161,065",2,0,1,"$84,295",0
903,15792388,Li,645,France,Female,48,7,"$90,612",1,1,1,"$149,139",0
904,15786014,Ku,568,France,Male,28,5,"$145,106",2,1,0,"$185,489",0
905,15794580,Ch'en,599,France,Male,58,4,$0,1,0,0,"$176,407",1
906,15675964,Chukwukadibia,672,France,Female,45,9,$0,1,1,1,"$92,028",1
907,15814275,Zikoranachidimma,685,France,Male,33,6,"$174,913",1,1,1,"$43,933",0
908,15724848,Oluchukwu,516,France,Female,46,1,"$104,948",1,1,0,"$115,789",1
909,15754713,Rivera,685,Spain,Male,31,10,"$135,214",1,1,1,"$125,777",0
910,15693814,Niu,806,Spain,Male,25,7,$0,2,1,0,"$18,462",0
911,15599660,Bennett,604,France,Male,36,6,"$116,230",2,1,1,"$79,633",0
912,15746490,Wollstonecraft,648,Spain,Female,53,6,"$111,201",1,1,1,"$121,542",0
913,15566091,Thomsen,545,Spain,Female,32,4,$0,1,1,0,"$94,739",0
914,15655961,Palermo,756,Germany,Male,27,1,"$131,899",1,1,0,"$93,302",0
915,15710404,Chinwendu,569,France,Male,35,10,"$124,526",1,1,1,"$193,794",0
916,15775625,McKenzie,596,France,Male,47,6,$0,1,1,0,"$74,836",0
917,15792328,James,475,France,Male,39,6,$0,1,1,1,"$57,000",1
918,15719856,Lamb,646,France,Female,45,3,"$47,135",1,1,1,"$57,236",0
919,15593773,Olejuru,784,Spain,Male,35,3,$0,2,0,0,"$81,484",0
920,15733114,Hay,552,Spain,Male,45,9,$0,2,1,0,"$26,753",0
921,15797748,Lu,729,France,Male,44,5,$0,2,0,1,"$9,201",0
922,15743411,Chiawuotu,609,Spain,Male,61,1,$0,1,1,0,"$22,448",1
923,15753337,Yeates,555,France,Male,51,5,$0,3,1,0,"$189,123",1
924,15601026,Gallagher,572,Germany,Female,19,1,"$138,657",1,1,1,"$16,162",0
925,15658485,Heath,785,France,Female,34,9,"$70,302",1,1,1,"$68,600",0
926,15636731,Ts'ai,714,Germany,Female,36,1,"$101,609",2,1,1,$448,0
927,15628303,Thurgood,738,Spain,Male,35,3,$0,1,1,1,"$15,651",0
928,15633461,Pai,639,Germany,Male,38,5,"$130,171",1,1,1,"$149,600",0
929,15677135,Lorenzo,520,Germany,Male,61,8,"$133,802",2,1,1,"$90,304",0
930,15590876,Knupp,764,France,Female,24,7,"$106,234",1,0,0,"$115,676",0
931,15790782,Baryshnikov,661,Spain,Male,39,6,"$132,629",1,0,0,"$38,813",0
932,15700476,Azubuike,564,Germany,Male,41,9,"$103,523",2,1,1,"$34,338",0
933,15634141,Shephard,708,Germany,Female,42,8,"$192,391",2,1,0,$823,0
934,15737795,Scott,512,Spain,Male,36,1,$0,1,0,1,"$135,482",1
935,15790299,Williamson,592,Spain,Male,37,9,$0,3,1,1,"$10,657",0
936,15675316,Avdeeva,619,France,Female,38,3,$0,2,0,1,"$116,467",0
937,15613630,Tang,775,France,Male,52,8,"$109,923",1,1,1,"$96,823",1
938,15662100,Hsu,850,Germany,Female,44,5,"$128,605",1,0,1,"$171,096",0
939,15668032,Buchanan,577,France,Female,37,4,$0,1,1,1,"$79,881",0
940,15599289,Yeh,724,France,Female,37,10,"$68,599",1,1,0,"$157,863",0
941,15754084,Palazzi,710,Spain,Male,35,1,"$106,519",1,1,1,"$127,952",0
942,15676521,Y?an,696,France,Female,31,8,$0,2,0,0,"$191,074",0
943,15804586,Lin,376,France,Female,46,6,$0,1,1,0,"$157,334",1
944,15781465,Schofield,675,Germany,Female,29,8,"$121,326",1,1,0,"$133,458",0
945,15729362,Lombardi,745,France,Male,36,8,"$67,226",1,1,0,"$130,790",0
946,15709295,Wall,697,Spain,Female,25,5,"$82,932",2,1,1,"$128,374",0
947,15745324,Milani,599,Spain,Female,39,4,$0,1,1,0,"$194,273",1
948,15741336,Ejimofor,715,France,Female,38,5,"$118,590",1,1,1,"$5,684",1
949,15783659,Blackburn,659,France,Male,67,4,"$145,982",1,1,1,"$131,043",0
950,15620981,Wickham,684,France,Female,48,3,"$73,309",1,0,0,"$21,228",1
951,15630328,Bird,635,France,Female,48,8,"$130,796",2,1,1,"$43,250",0
952,15785899,Ch'en,789,Germany,Male,33,8,"$151,608",1,1,0,"$4,389",0
953,15606149,Wood,571,Germany,Female,66,9,"$111,577",1,0,1,"$189,272",0
954,15671139,Brizendine,694,Spain,Male,39,0,"$107,043",1,1,1,"$102,284",0
955,15660429,Ch'in,665,Spain,Female,42,2,"$156,372",2,0,1,"$156,775",1
956,15571002,Yusupov,706,France,Female,44,4,"$129,606",1,0,0,"$69,865",0
957,15631681,Jibunoh,807,Spain,Female,43,0,$0,2,0,1,"$85,523",0
958,15731522,Ts'ui,771,Spain,Female,67,8,$0,2,1,1,"$51,220",0
959,15619529,Ndukaku,531,Spain,Male,27,8,"$132,576",1,0,0,"$7,223",0
960,15628034,Wilder,629,France,Female,37,6,"$129,101",1,1,1,"$23,971",0
961,15686164,Maclean,850,Germany,Female,31,1,"$108,822",1,1,1,"$132,173",0
962,15582797,Ch'iu,685,Spain,Male,35,4,"$137,949",1,1,0,"$113,640",0
963,15753831,Cox,642,Spain,Male,32,7,"$100,434",1,1,1,"$39,769",0
964,15731815,Nepean,529,Spain,Male,63,4,"$96,134",3,1,0,"$108,733",1
965,15580956,McNess,683,Germany,Female,43,4,"$115,888",1,1,1,"$117,349",1
966,15602084,Coles,663,France,Female,42,5,"$124,626",1,1,1,"$78,005",0
967,15589805,Benson,563,France,Female,34,6,"$139,810",1,1,1,"$152,418",0
968,15720893,Gilbert,637,Spain,Female,34,9,$0,2,0,0,"$26,057",0
969,15641009,Wilhelm,544,France,Male,37,3,"$84,497",1,0,0,"$79,972",0
970,15605926,Sinclair,649,Germany,Male,70,9,"$116,855",2,0,1,"$107,126",0
971,15805955,L?,638,France,Female,48,10,"$138,333",1,1,1,"$47,679",0
972,15801488,Buckner,723,France,Male,25,3,$0,2,1,1,"$134,509",0
973,15605918,Padovesi,635,Germany,Male,43,5,"$78,993",2,0,0,"$153,265",0
974,15779711,Gray,750,Spain,Female,38,7,"$97,257",2,0,1,"$179,883",0
975,15705620,Lu,730,France,Male,34,5,"$122,453",2,1,0,"$138,883",0
976,15685357,Wright,750,Spain,Female,36,8,"$112,940",1,0,1,"$9,856",0
977,15570060,Palerma,586,France,Female,43,8,"$132,558",1,1,0,"$67,047",1
978,15582616,Y?an,520,France,Female,38,4,$0,2,1,0,"$56,389",0
979,15799515,Wei,652,France,Female,48,8,"$133,297",1,1,0,"$77,764",0
980,15642937,Padovesi,550,France,Female,46,7,$0,2,1,0,"$130,590",0
981,15624729,Tsao,594,France,Male,27,0,"$197,042",1,0,0,"$151,912",0
982,15566156,Franklin,749,Germany,Female,44,0,"$71,498",2,0,0,"$151,084",0
983,15792360,Clark,668,France,Male,32,7,$0,2,1,1,$777,0
984,15807008,McGregor,614,Germany,Female,35,6,"$128,100",1,0,0,"$69,454",1
985,15704770,Pan,773,France,Male,25,1,"$124,533",2,0,1,"$11,724",0
986,15756475,Kenniff,551,Germany,Male,31,9,"$82,294",2,1,1,"$91,565",0
987,15655339,Spencer,566,France,Male,36,1,"$142,121",1,1,0,"$79,616",0
988,15613749,Lees,569,Spain,Male,34,0,"$151,839",1,1,0,"$102,300",1
989,15664521,David,659,Spain,Male,31,7,"$149,621",2,1,1,"$104,534",0
990,15681206,Hsing,722,France,Female,49,3,"$168,198",1,1,0,"$140,766",1
991,15745527,Burke,655,France,Male,37,5,"$93,147",2,1,0,"$66,214",0
992,15806926,Watson,615,France,Female,35,2,"$97,440",2,1,1,"$139,816",0
993,15724563,Hawkins,752,Germany,Female,42,3,"$65,046",2,0,1,"$140,139",0
994,15782899,Ginn,661,Spain,Female,28,7,"$95,357",1,0,0,"$102,297",0
995,15623521,Sozonov,838,Spain,Male,43,9,"$123,106",2,1,0,"$145,766",0
996,15810218,Sun,610,Spain,Male,29,9,$0,3,0,1,"$83,912",0
997,15645621,Hunter,811,Spain,Male,44,3,$0,2,0,1,"$78,440",0
998,15608114,Manfrin,587,Spain,Male,62,7,"$121,286",1,0,1,"$6,777",0
999,15659557,Artamonova,811,Germany,Female,28,4,"$167,739",2,1,1,"$9,903",0
1000,15787772,Hansen,759,France,Female,38,1,"$104,091",1,0,0,"$91,562",0
1001,15691111,Pai,648,Germany,Female,42,8,"$121,981",2,1,0,"$4,027",0
1002,15592089,Larsen,788,France,Female,43,10,$0,2,1,1,"$116,112",0
1003,15633897,Owen,725,Germany,Male,39,1,"$50,881",2,1,1,"$184,024",0
1004,15701301,Murphy,646,France,Female,42,3,"$175,160",2,0,0,"$67,124",1
1005,15723685,Ekechukwu,601,Germany,Female,26,7,"$105,515",2,1,0,"$50,071",0
1006,15701602,Ayers,521,Germany,Male,52,5,"$116,497",3,0,0,"$53,793",1
1007,15739189,Johnson,561,Spain,Female,33,6,$0,2,1,0,"$45,261",0
1008,15573086,Millar,564,France,Male,42,7,"$99,824",1,1,1,"$36,721",0
1009,15569050,Farrell,444,France,Male,45,6,$0,1,1,0,"$130,010",1
1010,15750765,Sanders,650,Spain,Male,71,0,$0,1,1,1,"$175,381",0
1011,15799811,Herrera,724,France,Male,40,10,$0,1,1,0,"$127,847",1
1012,15698442,Eberechukwu,719,Spain,Male,35,3,"$122,965",1,1,1,"$138,232",0
1013,15655274,Bardin,548,France,Female,29,4,$0,2,0,1,"$48,673",0
1014,15603594,Nwankwo,635,Spain,Male,24,4,$0,2,1,1,"$70,669",0
1015,15585961,Talbot,496,Spain,Female,43,3,$0,2,0,1,"$199,506",0
1016,15686936,McGregor,676,France,Female,37,5,"$89,635",1,1,1,"$169,583",1
1017,15770424,Onyeorulu,541,Germany,Male,40,7,"$95,710",2,1,0,"$49,063",0
1018,15587451,Goold,778,Germany,Male,41,7,"$139,706",1,1,0,"$63,337",0
1019,15602010,Zikoranaudodimma,850,Germany,Female,45,5,"$103,910",1,1,0,"$60,083",1
1020,15600583,Garner,633,France,Male,31,1,$0,1,1,0,"$48,607",0
1021,15654673,Onyinyechukwuka,625,France,Male,49,6,"$173,435",1,1,0,"$165,581",1
1022,15717164,Genovese,485,Spain,Male,32,6,"$102,238",2,1,1,"$194,010",0
1023,15765014,Mai,547,France,Female,48,1,"$179,381",2,0,1,"$69,263",0
1024,15682639,Marshall,642,France,Male,32,3,$0,2,1,1,"$88,699",0
1025,15729279,Naylor,718,France,Female,25,4,"$108,692",1,1,0,"$63,031",0
1026,15759805,Pinto,582,France,Female,32,4,$0,2,1,0,"$59,669",0
1027,15767864,Fulton,628,France,Male,33,6,$0,2,0,0,"$184,230",0
1028,15769948,Palerma,737,Germany,Male,35,0,"$133,378",1,0,1,"$64,050",0
1029,15686345,McCaffrey,828,Spain,Male,34,9,$0,2,1,1,"$81,854",0
1030,15688071,Collins,609,Spain,Male,53,10,$0,1,1,1,"$154,643",0
1031,15681174,Zuev,730,France,Male,39,1,"$116,538",1,0,0,"$145,680",0
1032,15667521,Crawford,631,France,Female,22,3,$0,2,0,0,"$30,782",0
1033,15750243,Genovese,830,Spain,Male,40,4,$0,2,0,1,"$81,623",0
1034,15695475,Maclean,645,France,Male,29,1,"$130,131",2,0,1,"$196,474",0
1035,15689176,Fabro,663,France,Male,46,3,$0,2,0,1,"$176,276",0
1036,15652955,Price,678,Spain,Male,30,0,$0,1,1,0,"$35,113",0
1037,15668958,Chatfield,521,France,Male,30,2,"$107,316",1,1,0,"$64,300",0
1038,15631054,Volkova,625,France,Female,24,1,$0,2,1,1,"$180,970",0
1039,15581479,Archer,523,France,Male,30,1,"$83,181",1,1,1,"$138,177",0
1040,15577478,Ch'iu,714,France,Female,72,3,$0,1,1,1,"$86,734",0
1041,15780870,McKay,580,Spain,Male,67,3,"$153,946",1,1,1,"$7,419",0
1042,15692317,Craig,722,France,Male,30,5,$0,2,1,0,"$166,377",0
1043,15593969,Abramovich,630,Spain,Female,39,7,"$135,483",1,1,0,"$140,881",1
1044,15570417,Chien,579,France,Male,35,1,$0,2,1,0,"$4,460",0
1045,15779059,Timms,670,France,Female,38,4,"$119,625",2,1,1,"$110,472",0
1046,15785980,Williford,588,Spain,Male,34,6,"$121,132",2,1,0,"$86,460",0
1047,15644200,Hamilton,807,Spain,Female,42,1,$0,1,1,0,"$16,501",1
1048,15793949,Cheng,726,France,Female,48,4,$0,1,1,0,"$114,020",1
1049,15645103,Su,812,Germany,Male,25,5,"$54,818",1,1,0,"$131,660",0
1050,15705860,McKenzie,631,Germany,Male,40,3,"$107,949",1,1,0,"$52,450",1
1051,15623828,Akobundu,682,France,Male,30,4,$0,1,0,1,"$161,465",0
1052,15715003,Ko,625,Spain,Female,49,2,"$80,816",1,1,1,"$20,019",0
1053,15623471,Marcelo,607,Germany,Male,38,3,"$98,206",1,1,0,"$176,318",0
1054,15798348,Chukwuebuka,600,Spain,Female,50,6,"$94,684",1,1,1,"$50,489",0
1055,15743016,MacDonald,602,Spain,Female,22,7,"$141,605",1,1,0,"$30,380",0
1056,15769499,Lampungmeiua,545,Spain,Female,74,3,$0,2,1,1,"$161,327",0
1057,15798521,Tai,675,Spain,Male,33,3,$0,2,1,0,"$45,348",0
1058,15706534,Enyinnaya,581,France,Female,47,1,"$122,949",1,0,0,"$180,252",1
1059,15706186,McKenzie,640,Germany,Male,33,8,"$81,677",2,0,0,"$34,926",0
1060,15812197,Kline,850,France,Male,38,7,"$80,294",1,0,0,"$126,556",0
1061,15650933,Ma,490,Spain,Female,48,8,"$155,413",1,1,0,"$187,921",0
1062,15692991,Wood,710,Spain,Female,38,4,$0,2,1,1,"$136,391",0
1063,15631189,Riggs,613,Germany,Male,38,9,"$67,112",1,1,0,"$78,567",1
1064,15762198,Capon,812,France,Male,34,5,"$103,818",1,1,1,"$166,038",0
1065,15699598,Smith,723,France,Female,20,4,$0,2,1,1,"$140,385",0
1066,15692744,Davison,512,France,Male,36,4,"$152,169",2,0,0,"$38,629",1
1067,15688963,Ingram,731,France,Female,52,10,$0,1,1,1,"$24,999",1
1068,15599131,Dilke,650,Germany,Male,26,4,"$214,347",2,1,0,"$128,815",0
